Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Wilhelmus,NFANDROID1-PRV-T-L3-ROCKCH96=MAX=-4445-0E43AF9CBA596398A9E1B8B83E6DFA3D275B26CD9D783DD860895B9193799B5D1,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Wilhelmus,NFCDCH-02-GPXGRNX466Y50MGR847R7E5AY7X8YE,Chrome PC (Cadmium),2020-09-26T04:11:04.941Z,2020-10-03T21:36:59.788Z,2020-09-26T04:11:04.941Z,2020-10-03T21:36:59.788Z,2020-09-26T04:11:04.941Z,2020-10-03T21:36:59.788Z,2020-09-26T04:11:04.941Z,2020-10-03T21:36:59.788Z,
Cruzer,GOOGNEW0010000000000000000308216,Google Smart Display Nest Hub Max (2019),2020-09-03T23:18:14.824Z,2020-09-13T02:09:58.566Z,2020-09-03T23:18:14.824Z,2020-09-13T02:09:58.566Z,2020-09-04T05:32:25.672Z,2020-09-13T02:09:58.566Z,2020-09-04T05:32:25.672Z,2020-09-13T02:09:58.566Z,
Wilhelmus,GOOGNEW0010000000000000000308216,Google Smart Display Nest Hub Max (2019),2020-09-03T23:18:14.824Z,2020-09-13T02:09:58.566Z,2020-09-03T23:18:14.824Z,2020-09-13T02:09:58.566Z,2020-09-03T23:18:14.824Z,2020-09-03T23:18:14.824Z,2020-09-03T23:18:14.824Z,2020-09-03T23:18:14.824Z,
Cruzer,NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,iPad Air Cellular,2019-07-29T08:39:38.573Z,2021-09-25T18:44:28.718Z,2019-10-15T07:26:05.688Z,2021-09-25T18:44:28.718Z,2020-04-24T02:37:26.490Z,2020-05-07T23:37:44.747Z,2020-04-24T02:37:26.490Z,2020-05-07T23:37:44.747Z,
Alex,NFANDROID1-PRV-T-L3-HENA=T10HR2S-4445-081C03E1B2B0380BAE3C58BD3C0E0D2354E8446CEE213ABF29C6ECC985C02C9FF,Android DefaultWidevineL3Tablet Android Tablet,2019-12-24T01:50:02.154Z,2019-12-25T23:59:35.838Z,2019-12-24T01:50:02.154Z,2019-12-25T23:59:35.838Z,2019-12-24T01:50:02.154Z,2019-12-25T23:59:35.838Z,2019-12-24T01:50:02.154Z,2019-12-25T23:59:35.838Z,
Alex,NFCDCH-01-G00G5WWPC04W53PADC6DW0EDPRQYCD,Chrome OS (Cadmium),2019-12-23T04:05:47.018Z,2019-12-23T04:06:45.963Z,2019-12-23T04:05:47.018Z,2019-12-23T04:06:45.963Z,2019-12-23T04:05:47.018Z,2019-12-23T04:06:45.963Z,2019-12-23T04:05:47.018Z,2019-12-23T04:06:45.963Z,
Wilhelmus,NFCDCH-02-FWPWEA2E2P7LL27035WQ9YTJ665UN0,Chrome PC (Cadmium),2019-11-13T03:01:41.366Z,2019-12-20T01:41:46.006Z,2019-11-13T03:01:41.366Z,2019-12-20T01:41:46.006Z,2019-11-13T03:01:41.366Z,2019-12-20T01:41:46.006Z,2019-11-13T03:01:41.366Z,2019-12-20T01:41:46.006Z,
Wilhelmus,NFCDCH-02-FUZ10KXY3AGV0WJR6K4RP3HYJF3LEE,Chrome PC (Cadmium),2019-11-28T03:26:10.452Z,2019-11-28T03:59:20.017Z,2019-11-28T03:26:10.452Z,2019-11-28T03:26:10.452Z,2019-11-28T03:26:10.452Z,2019-11-28T03:59:20.017Z,2019-11-28T03:26:10.452Z,2019-11-28T03:26:10.452Z,
Alex,NFAPPL-03-APPLETV3=1-EDF0D6E23F55837FD4971E3C3C1EA93FCD278868F6EB32EB69BF54F5D614252B,Apple TV 3,2019-10-02T20:43:59.379Z,2019-10-10T04:39:35.345Z,2019-10-02T20:43:59.379Z,2019-10-10T04:39:35.345Z,2019-10-02T20:43:59.379Z,2019-10-10T04:39:35.345Z,2019-10-02T20:43:59.379Z,2019-10-10T04:39:35.345Z,
Cruzer,NFAPPL-03-APPLETV3=1-EDF0D6E23F55837FD4971E3C3C1EA93FCD278868F6EB32EB69BF54F5D614252B,Apple TV 3,2019-10-02T20:43:59.379Z,2019-10-10T04:39:35.345Z,2019-10-02T20:43:59.379Z,2019-10-10T04:39:35.345Z,2019-10-10T01:46:39.995Z,2019-10-10T02:27:41.160Z,2019-10-10T01:46:39.995Z,2019-10-10T02:27:41.160Z,
School for Miss Cruz,NFCDCH-02-EVWZE2969PMA5Q1LM8JP6EQFTCKV27,Chrome PC (Cadmium),2019-03-07T23:47:31.942Z,2019-03-07T23:47:31.942Z,2019-03-07T23:47:31.942Z,2019-03-07T23:47:31.942Z,2019-03-07T23:47:31.942Z,2019-03-07T23:47:31.942Z,2019-03-07T23:47:31.942Z,2019-03-07T23:47:31.942Z,
Wilhelmus,NFCDCH-01-F0W485G7W5MAXDH3MR35M8F577QPY7,Chrome OS (Cadmium),2018-12-10T07:09:30.574Z,2018-12-10T07:09:30.574Z,2018-12-10T07:09:30.574Z,2018-12-10T07:09:30.574Z,2018-12-10T07:09:30.574Z,2018-12-10T07:09:30.574Z,2018-12-10T07:09:30.574Z,2018-12-10T07:09:30.574Z,
