Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Alex,"Turbo FAST: Season 3: ""Dial M for Mystery / Turbo Real""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 23:31:49,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":6518,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":71518,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":973664,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""Crew Detective / The Whiplash Effect""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 23:01:09,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3686,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":742686,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":753285,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":803321,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":833789,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":862430,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1049893,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1121795,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1192507,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1617876,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1766652,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1792509,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""He Got Game Night / 73*""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 22:43:33,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":8334,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":686334,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":707652,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1059714,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""He Got Game Night / 73*""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 20:55:02,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":7430,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":319430,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":319431,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":320430,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""Desserted Island / The Dry Spell""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 20:23:52,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":7028,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":58028,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":316040,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1661040,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""Shell on Wheels / Keep on Truckin'""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 20:01:19,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":5398,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1349398,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""How to Train Your Titmouse / The Good, The Bad, The Bugly""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 19:12:29,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3613,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":531613,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":537043,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":556049,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":635458,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":635839,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":636740,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":647896,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":650443,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":755497,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":765737,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":820686,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":877794,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1133355,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1330053,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1337477,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1701207,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1897424,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2091709,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":2277709,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 3: ""Party Poopers / The League""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 18:41:28,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3997,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1150997,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1395863,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1593105,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 2: ""Groundhog, Stay! / Gone Guys Gone""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 18:17:06,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":5360,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":143360,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":256600,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1463588,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 2: ""Tough as Snails / C.O.N.S.P.I.R.A.C.Y.""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 17:54:22,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3673,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1234673,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1266671,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1268590,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1328754,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1362255,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 2: ""The Day Mel Fell / Burn's Ex-Boo""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 17:32:08,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":8717,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1335717,""mediaOffsetMs"":null}]"
Alex,"Turbo FAST: Season 2: ""Ransom of White Shadow / Kicked Off""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-16 17:08:53,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3334,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1387334,""mediaOffsetMs"":null}]"
